name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,total_sales,platform_group,console_type,rating_sem
Grisaia no Kajitsu: La Fruit de la Grisaia,PSP,2013,Adventure,0.0,0.0,0.01,0.0,68.0,75.0,Pending,0.01,Playstation,Portable console,pending
Grisaia no Meikyuu: Le Labyrinthe de la Grisaia,PSV,2014,Adventure,0.0,0.0,0.02,0.0,71.0,76.0,Pending,0.02,Playstation,Portable console,pending
Grisaia no Rakuen: Le Eden de la Grisaia,PSV,2014,Adventure,0.0,0.0,0.02,0.0,71.0,76.0,Pending,0.02,Playstation,Portable console,pending
Grooverider: Slot Car Thunder,GC,2003,Racing,0.01,0.0,0.0,0.0,49.0,79.5,E,0.01,Nintendo,Home console,everyone
Grooverider: Slot Car Thunder,XB,2003,Racing,0.01,0.0,0.0,0.0,45.0,73.0,E,0.01,Xbox,Home console,everyone
Groovin' Blocks,Wii,2009,Puzzle,0.01,0.0,0.0,0.0,75.0,85.0,E,0.01,Nintendo,Home console,everyone
Group S Challenge,XB,2003,Racing,0.02,0.0,0.0,0.0,57.0,60.0,E,0.02,Xbox,Home console,everyone
Growlanser,PSP,2009,Role-Playing,0.0,0.0,0.04,0.0,68.0,75.0,Pending,0.04,Playstation,Portable console,pending
Growlanser Generations,PS2,2003,Role-Playing,0.06,0.04,0.0,0.01,81.0,77.0,T,0.11,Playstation,Home console,teen
Growlanser IV: Over Reloaded,PSP,2011,Role-Playing,0.0,0.0,0.06,0.0,68.0,75.0,Pending,0.06,Playstation,Portable console,pending
Growlanser VI: Precarious World,PS2,2007,Role-Playing,0.0,0.0,0.05,0.0,70.0,80.0,Pending,0.05,Playstation,Home console,pending
Growlanser: Heritage of War,PS2,2006,Role-Playing,0.11,0.08,0.0,0.03,60.0,79.0,T,0.22,Playstation,Home console,teen
Growlanser: Heritage of War (jp sales),PS2,2006,Role-Playing,0.0,0.0,0.05,0.0,70.0,80.0,Pending,0.05,Playstation,Home console,pending
Grudge Warriors,PS,1999,Action,0.23,0.16,0.0,0.03,73.5,83.0,Pending,0.42000000000000004,Playstation,Home console,pending
Guardian Heroes,SAT,1995,Role-Playing,0.0,0.0,0.29,0.0,70.0,75.0,Pending,0.29,Other,Home console,pending
Guardian's Crusade,PS,1998,Role-Playing,0.07,0.05,0.0,0.01,73.5,83.0,Pending,0.13,Playstation,Home console,pending
Gudetama: Hanjuku de Tanomuwa,3DS,2015,Action,0.0,0.0,0.03,0.0,68.0,71.0,Pending,0.03,Nintendo,Portable console,pending
Guess the Logos,XB,2004,Puzzle,0.02,0.0,0.0,0.0,72.0,80.0,Pending,0.02,Xbox,Home console,pending
Guild 01,3DS,2012,Action,0.0,0.0,0.05,0.0,68.0,71.0,Pending,0.05,Nintendo,Portable console,pending
Guild Wars,PC,2005,Role-Playing,0.03,0.0,0.0,0.0,89.0,84.0,T,0.03,PC,Home console,teen
Guild Wars 2,PC,2012,Action,0.96,1.07,0.0,0.27,90.0,79.0,T,2.3000000000000003,PC,Home console,teen
Guild Wars Trilogy,PC,2005,Role-Playing,0.0,0.03,0.0,0.01,78.0,88.0,T,0.04,PC,Home console,teen
Guild Wars: Factions,PC,2006,Role-Playing,0.0,0.01,0.0,0.0,84.0,85.0,T,0.01,PC,Home console,teen
Guild Wars: Nightfall,PC,2006,Role-Playing,0.0,0.02,0.0,0.0,84.0,87.0,T,0.02,PC,Home console,teen
Guilty Gear,PS,1998,Fighting,0.03,0.02,0.07,0.01,73.5,83.0,Pending,0.13,Playstation,Home console,pending
Guilty Gear Dust Strikers,DS,2006,Fighting,0.05,0.0,0.0,0.0,60.0,58.0,T,0.05,Nintendo,Portable console,teen
Guilty Gear Isuka,PS2,2004,Fighting,0.05,0.04,0.0,0.01,73.0,75.0,T,0.09999999999999999,Playstation,Home console,teen
Guilty Gear Judgment,PSP,2006,Fighting,0.13,0.0,0.02,0.01,77.0,66.0,T,0.16,Playstation,Portable console,teen
Guilty Gear X,PS2,2001,Fighting,0.06,0.05,0.0,0.02,79.0,78.0,T,0.13,Playstation,Home console,teen
Guilty Gear X2,PS2,2002,Fighting,0.09,0.07,0.16,0.02,87.0,87.0,T,0.34,Playstation,Home console,teen
Guilty Gear X2 #Reload,XB,2004,Fighting,0.11,0.03,0.0,0.01,86.0,76.0,T,0.15000000000000002,Xbox,Home console,teen
Guilty Gear X: Advance Edition,GBA,2002,Fighting,0.04,0.02,0.0,0.0,67.0,59.0,T,0.06,Nintendo,Portable console,teen
Guilty Gear XX Accent Core,PS2,2007,Fighting,0.0,0.0,0.04,0.0,77.0,83.0,T,0.04,Playstation,Home console,teen
Guilty Gear XX Accent Core,Wii,2007,Fighting,0.03,0.0,0.0,0.0,75.0,84.0,T,0.03,Nintendo,Home console,teen
Guilty Gear XX Accent Core Plus,PS2,2008,Fighting,0.03,0.02,0.0,0.01,70.0,80.0,T,0.060000000000000005,Playstation,Home console,teen
Guilty Gear XX Accent Core Plus,PSP,2008,Fighting,0.03,0.01,0.04,0.01,68.0,67.0,T,0.09,Playstation,Portable console,teen
Guilty Gear XX Accent Core Plus,Wii,2009,Fighting,0.01,0.02,0.0,0.0,76.0,73.0,T,0.03,Nintendo,Home console,teen
Guilty Gear XX Slash,PS2,2006,Fighting,0.0,0.0,0.08,0.0,70.0,80.0,Pending,0.08,Playstation,Home console,pending
Guilty Gear Xrd -Revelator-,PS3,2016,Fighting,0.02,0.02,0.03,0.01,73.0,71.0,Pending,0.08,Playstation,Home console,pending
Guilty Gear Xrd -Revelator-,PS4,2016,Fighting,0.03,0.0,0.05,0.01,73.0,70.0,Pending,0.09,Playstation,Home console,pending
Guilty Gear Xrd: Sign,PS3,2014,Fighting,0.1,0.0,0.07,0.02,73.0,71.0,Pending,0.19,Playstation,Home console,pending
Guilty Gear Xrd: Sign,PS4,2014,Fighting,0.1,0.0,0.04,0.02,73.0,70.0,Pending,0.16,Playstation,Home console,pending
Guinness World Records: The Videogame,DS,2008,Action,0.47,0.01,0.0,0.04,70.0,74.0,E,0.52,Nintendo,Portable console,everyone
Guinness World Records: The Videogame,Wii,2008,Action,0.46,0.47,0.0,0.11,67.0,70.0,E10+,1.04,Nintendo,Home console,everyone 10 and older
Guitar Freaks,PS,1999,Simulation,0.0,0.0,0.23,0.02,73.5,83.0,Pending,0.25,Playstation,Home console,pending
Guitar Freaks & DrumMania: Masterpiece Gold,PS2,2007,Simulation,0.0,0.0,0.02,0.0,70.0,80.0,Pending,0.02,Playstation,Home console,pending
Guitar Freaks 3rdMIX & DrumMania 2ndMIX,PS2,2000,Simulation,0.0,0.0,0.06,0.0,70.0,80.0,Pending,0.06,Playstation,Home console,pending
Guitar Freaks V & DrumMania V,PS2,2006,Simulation,0.0,0.0,0.03,0.0,70.0,80.0,Pending,0.03,Playstation,Home console,pending
Guitar Freaks V2 & DrumMania V2,PS2,2006,Simulation,0.0,0.0,0.02,0.0,70.0,80.0,Pending,0.02,Playstation,Home console,pending
Guitar Freaks V3 & DrumMania V3,PS2,2007,Simulation,0.0,0.0,0.02,0.0,70.0,80.0,Pending,0.02,Playstation,Home console,pending
Guitar Hero,PS2,2005,Misc,1.67,0.61,0.03,0.07,91.0,87.0,T,2.3799999999999994,Playstation,Home console,teen
Guitar Hero 5,PS2,2009,Misc,0.28,0.3,0.0,0.54,71.0,26.0,T,1.12,Playstation,Home console,teen
Guitar Hero 5,PS3,2009,Misc,0.53,0.39,0.0,0.17,86.0,57.0,T,1.09,Playstation,Home console,teen
Guitar Hero 5,Wii,2009,Misc,0.92,0.48,0.0,0.15,89.0,69.0,T,1.5499999999999998,Nintendo,Home console,teen
Guitar Hero 5,X360,2009,Misc,0.65,0.37,0.0,0.11,85.0,68.0,T,1.1300000000000001,Xbox,Home console,teen
Guitar Hero Encore: Rocks The 80s,PS2,2007,Misc,0.92,0.04,0.0,0.15,69.0,63.0,T,1.11,Playstation,Home console,teen
