name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,total_sales,platform_group,console_type,rating_sem
 Beyblade Burst,3DS,2016,Role-Playing,0.0,0.0,0.03,0.0,68.0,71.0,Pending,0.03,Nintendo,Portable console,pending
 Fire Emblem Fates,3DS,2015,Role-Playing,0.81,0.23,0.52,0.11,68.0,71.0,Pending,1.6700000000000002,Nintendo,Portable console,pending
 Frozen: Olaf's Quest,3DS,2013,Platform,0.27,0.27,0.0,0.05,68.0,71.0,Pending,0.5900000000000001,Nintendo,Portable console,pending
 Frozen: Olaf's Quest,DS,2013,Platform,0.21,0.26,0.0,0.04,66.0,74.0,Pending,0.51,Nintendo,Portable console,pending
 Haikyu!! Cross Team Match!,3DS,2016,Adventure,0.0,0.0,0.04,0.0,68.0,71.0,Pending,0.04,Nintendo,Portable console,pending
 Tales of Xillia 2,PS3,2012,Role-Playing,0.2,0.12,0.45,0.07,71.0,79.0,T,0.8400000000000001,Playstation,Home console,teen
'98 Koshien,PS,1998,Sports,0.15,0.1,0.12,0.03,73.5,83.0,Pending,0.4,Playstation,Home console,pending
.hack//G.U. Vol.1//Rebirth,PS2,2006,Role-Playing,0.0,0.0,0.17,0.0,70.0,80.0,Pending,0.17,Playstation,Home console,pending
.hack//G.U. Vol.2//Reminisce,PS2,2006,Role-Playing,0.11,0.09,0.0,0.03,70.0,80.0,Pending,0.23,Playstation,Home console,pending
.hack//G.U. Vol.2//Reminisce (jp sales),PS2,2006,Role-Playing,0.0,0.0,0.16,0.0,70.0,80.0,Pending,0.16,Playstation,Home console,pending
.hack//G.U. Vol.3//Redemption,PS2,2007,Role-Playing,0.0,0.0,0.17,0.0,70.0,80.0,Pending,0.17,Playstation,Home console,pending
.hack//Infection Part 1,PS2,2002,Role-Playing,0.49,0.38,0.26,0.13,75.0,85.0,T,1.2599999999999998,Playstation,Home console,teen
.hack//Link,PSP,2010,Role-Playing,0.0,0.0,0.14,0.0,68.0,75.0,Pending,0.14,Playstation,Portable console,pending
.hack//Mutation Part 2,PS2,2002,Role-Playing,0.23,0.18,0.2,0.06,76.0,89.0,T,0.6700000000000002,Playstation,Home console,teen
.hack//Outbreak Part 3,PS2,2002,Role-Playing,0.14,0.11,0.17,0.04,70.0,87.0,T,0.46,Playstation,Home console,teen
.hack//Quarantine Part 4: The Final Chapter,PS2,2003,Role-Playing,0.09,0.07,0.0,0.02,70.0,80.0,Pending,0.18,Playstation,Home console,pending
.hack: Sekai no Mukou ni + Versus,PS3,2012,Action,0.0,0.0,0.03,0.0,73.0,71.0,Pending,0.03,Playstation,Home console,pending
007 Racing,PS,2000,Racing,0.3,0.2,0.0,0.03,51.0,46.0,T,0.53,Playstation,Home console,teen
007: Quantum of Solace,DS,2008,Action,0.11,0.01,0.0,0.01,65.0,74.0,T,0.13,Nintendo,Portable console,teen
007: Quantum of Solace,PC,2008,Action,0.01,0.01,0.0,0.0,70.0,63.0,T,0.02,PC,Home console,teen
007: Quantum of Solace,PS2,2008,Action,0.17,0.0,0.0,0.26,70.0,80.0,Pending,0.43000000000000005,Playstation,Home console,pending
007: Quantum of Solace,PS3,2008,Action,0.43,0.51,0.02,0.19,65.0,66.0,T,1.15,Playstation,Home console,teen
007: Quantum of Solace,Wii,2008,Action,0.29,0.28,0.01,0.07,54.0,75.0,T,0.6500000000000001,Nintendo,Home console,teen
007: Quantum of Solace,X360,2008,Action,0.82,0.51,0.01,0.14,65.0,71.0,T,1.48,Xbox,Home console,teen
007: The World is not Enough,N64,2000,Action,1.13,0.38,0.02,0.03,70.0,75.0,Pending,1.5599999999999998,Nintendo,Home console,pending
007: The World is not Enough,PS,2000,Action,0.51,0.35,0.0,0.06,61.0,67.0,T,0.9199999999999999,Playstation,Home console,teen
007: Tomorrow Never Dies,PS,1999,Shooter,1.72,1.33,0.0,0.16,73.5,83.0,Pending,3.21,Playstation,Home console,pending
1 vs. 100,DS,2008,Misc,0.08,0.0,0.0,0.01,38.0,32.0,E,0.09,Nintendo,Portable console,everyone
1/2 Summer +,PSP,2013,Adventure,0.0,0.0,0.01,0.0,68.0,75.0,Pending,0.01,Playstation,Portable console,pending
10 Minute Solution,Wii,2010,Sports,0.06,0.01,0.0,0.01,65.0,71.5,E,0.07999999999999999,Nintendo,Home console,everyone
100 All-Time Favorites,DS,2009,Puzzle,0.35,0.12,0.0,0.04,66.0,62.0,E,0.51,Nintendo,Portable console,everyone
100 Classic Books,DS,2008,Misc,0.12,0.52,0.0,0.02,70.0,60.0,Pending,0.66,Nintendo,Portable console,pending
100 Classic Games,DS,2011,Misc,0.0,0.03,0.0,0.0,66.0,74.0,Pending,0.03,Nintendo,Portable console,pending
1000 Cooking Recipes from ELLE à table,DS,2010,Misc,0.0,0.02,0.0,0.0,66.0,74.0,Pending,0.02,Nintendo,Portable console,pending
1001 Touch Games,DS,2011,Action,0.11,0.16,0.0,0.04,66.0,74.0,E,0.31,Nintendo,Portable console,everyone
101-in-1 Explosive Megamix,DS,2008,Puzzle,0.05,0.12,0.0,0.02,46.0,74.0,E,0.18999999999999997,Nintendo,Portable console,everyone
101-in-1 Party Megamix Wii,Wii,2009,Misc,0.19,0.01,0.0,0.02,65.0,71.5,Pending,0.22,Nintendo,Home console,pending
101-in-1 Sports Megamix,DS,2010,Sports,0.08,0.0,0.0,0.01,66.0,74.0,E10+,0.09,Nintendo,Portable console,everyone 10 and older
101-in-1 Sports Party Megamix,Wii,2010,Sports,0.02,0.0,0.0,0.0,41.0,71.5,E10+,0.02,Nintendo,Home console,everyone 10 and older
1080°: TenEighty Snowboarding,N64,1998,Sports,1.25,0.61,0.13,0.05,70.0,75.0,Pending,2.0399999999999996,Nintendo,Home console,pending
11eyes: CrossOver,PSP,2010,Adventure,0.0,0.0,0.02,0.0,68.0,75.0,Pending,0.02,Playstation,Portable console,pending
11eyes: CrossOver,X360,2009,Adventure,0.0,0.0,0.02,0.0,71.0,70.0,Pending,0.02,Xbox,Home console,pending
12-Sai. Honto no Kimochi,3DS,2014,Adventure,0.0,0.0,0.07,0.0,68.0,71.0,Pending,0.07,Nintendo,Portable console,pending
12-Sai. Koisuru Diary,3DS,2016,Adventure,0.0,0.0,0.05,0.0,68.0,71.0,Pending,0.05,Nintendo,Portable console,pending
12Riven: The Psi-Climinal of Integral,PS2,2008,Adventure,0.0,0.0,0.04,0.0,70.0,80.0,Pending,0.04,Playstation,Home console,pending
15 Days,PC,2009,Adventure,0.0,0.01,0.0,0.0,63.0,58.0,Pending,0.01,PC,Home console,pending
1701 A.D.,PC,2006,Simulation,0.0,0.25,0.0,0.04,79.0,83.0,E10+,0.29,PC,Home console,everyone 10 and older
18 Wheeler: American Pro Trucker,GC,2002,Racing,0.09,0.02,0.0,0.0,52.0,68.0,E,0.11,Nintendo,Home console,everyone
18 Wheeler: American Pro Trucker,PS2,2001,Racing,0.2,0.15,0.0,0.05,61.0,57.0,E,0.39999999999999997,Playstation,Home console,everyone
18 Wheels of Steel: Extreme Trucker,PC,2009,Racing,0.0,0.02,0.0,0.0,78.0,80.0,Pending,0.02,PC,Home console,pending
18 Wheels of Steel: Extreme Trucker 2,PC,2011,Racing,0.08,0.02,0.0,0.01,78.0,83.0,E,0.11,PC,Home console,everyone
187: Ride or Die,PS2,2005,Racing,0.07,0.06,0.0,0.02,52.0,68.0,M,0.15,Playstation,Home console,mature
187: Ride or Die,XB,2005,Racing,0.05,0.01,0.0,0.0,51.0,69.0,M,0.060000000000000005,Xbox,Home console,mature
1942,NES,1985,Shooter,0.65,0.14,0.21,0.0,70.0,75.0,Pending,1.0,Nintendo,Home console,pending
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,2005,Racing,0.09,0.03,0.0,0.0,69.0,80.0,Pending,0.12,Nintendo,Portable console,pending
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007,Action,1.26,0.47,0.0,0.03,69.0,80.0,Pending,1.76,Nintendo,Portable console,pending
2 Games in 1: Disney Princess & The Lion King,GBA,2004,Misc,1.25,0.46,0.0,0.03,69.0,80.0,Pending,1.74,Nintendo,Portable console,pending
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,2005,Action,0.22,0.08,0.0,0.01,69.0,80.0,Pending,0.31,Nintendo,Portable console,pending
2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005,Misc,1.31,0.49,0.0,0.03,69.0,80.0,Pending,1.83,Nintendo,Portable console,pending
2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,2005,Misc,0.44,0.16,0.0,0.01,69.0,80.0,Pending,0.61,Nintendo,Portable console,pending
2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,2005,Misc,0.04,0.02,0.0,0.0,69.0,80.0,Pending,0.06,Nintendo,Portable console,pending
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005,Platform,0.33,0.12,0.0,0.01,69.0,80.0,Pending,0.46,Nintendo,Portable console,pending
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,2013,Misc,0.09,0.01,0.0,0.01,71.0,70.0,Pending,0.10999999999999999,Xbox,Home console,pending
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,2004,Misc,0.4,0.11,0.0,0.02,72.0,80.0,Pending,0.53,Xbox,Home console,pending
2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,2005,Platform,0.06,0.02,0.0,0.0,69.0,80.0,Pending,0.08,Nintendo,Portable console,pending
2002 FIFA World Cup,GC,2002,Sports,0.04,0.01,0.0,0.0,78.0,77.0,E,0.05,Nintendo,Home console,everyone
2002 FIFA World Cup,PS2,2002,Sports,0.21,0.17,0.16,0.06,73.0,56.0,E,0.6000000000000001,Playstation,Home console,everyone
2002 FIFA World Cup,XB,2002,Sports,0.14,0.04,0.0,0.01,79.0,90.0,E,0.19000000000000003,Xbox,Home console,everyone
2010 FIFA World Cup South Africa,PS3,2010,Sports,0.3,0.64,0.07,0.22,82.0,78.0,E,1.23,Playstation,Home console,everyone
2010 FIFA World Cup South Africa,PSP,2010,Sports,0.09,0.22,0.03,0.12,69.0,74.0,E,0.45999999999999996,Playstation,Portable console,everyone
2010 FIFA World Cup South Africa,Wii,2010,Sports,0.23,0.15,0.01,0.04,70.0,67.0,E,0.43,Nintendo,Home console,everyone
2010 FIFA World Cup South Africa,X360,2010,Sports,0.32,0.42,0.02,0.09,83.0,81.0,E,0.85,Xbox,Home console,everyone
2014 FIFA World Cup Brazil,PS3,2014,Sports,0.15,0.36,0.01,0.09,73.0,43.0,E,0.61,Playstation,Home console,everyone
2014 FIFA World Cup Brazil,X360,2014,Sports,0.15,0.25,0.0,0.03,74.0,44.0,E,0.43000000000000005,Xbox,Home console,everyone
24: The Game,PS2,2006,Adventure,0.15,0.12,0.0,0.04,62.0,82.0,M,0.31,Playstation,Home console,mature
25 to Life,PS2,2006,Shooter,0.35,0.01,0.0,0.06,39.0,49.0,M,0.42,Playstation,Home console,mature
25 to Life,XB,2006,Shooter,0.12,0.04,0.0,0.01,41.0,72.0,M,0.17,Xbox,Home console,mature
2Xtreme,PS,1996,Sports,1.15,0.2,0.0,0.05,73.5,83.0,Pending,1.4,Playstation,Home console,pending
"3 in 1: Solitaire, Mahjong & Tangram",DS,2010,Misc,0.0,0.07,0.0,0.01,66.0,74.0,Pending,0.08,Nintendo,Portable console,pending
300: March to Glory,PSP,2007,Action,0.27,0.08,0.0,0.07,55.0,71.0,M,0.42000000000000004,Playstation,Portable console,mature
3D Baseball,PS,1996,Sports,0.02,0.01,0.0,0.0,73.5,83.0,Pending,0.03,Playstation,Home console,pending
3D Dot Game Heroes,PS3,2009,Role-Playing,0.36,0.11,0.03,0.07,77.0,80.0,E10+,0.5700000000000001,Playstation,Home console,everyone 10 and older
3D Lemmings,PS,1995,Puzzle,0.03,0.02,0.0,0.0,73.5,83.0,Pending,0.05,Playstation,Home console,pending
3D Tank Warfare Simulator Panzer Front,PS,1999,Simulation,0.06,0.04,0.0,0.01,73.5,83.0,Pending,0.11,Playstation,Home console,pending
3DS Classic Collection,3DS,2016,Misc,0.03,0.0,0.0,0.0,68.0,71.0,Pending,0.03,Nintendo,Portable console,pending
3Xtreme,PS,1999,Action,0.5,0.34,0.0,0.06,73.5,83.0,Pending,0.9000000000000001,Playstation,Home console,pending
3rd Super Robot Wars Z Jigoku Hen,PS3,2014,Role-Playing,0.0,0.0,0.23,0.0,73.0,71.0,Pending,0.23,Playstation,Home console,pending
3rd Super Robot Wars Z Jigoku Hen,PSV,2014,Role-Playing,0.0,0.0,0.19,0.0,71.0,76.0,Pending,0.19,Playstation,Portable console,pending
3rd Super Robot Wars Z: Tengoku-Hen,PS3,2015,Action,0.0,0.0,0.15,0.0,73.0,71.0,Pending,0.15,Playstation,Home console,pending
3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015,Action,0.0,0.0,0.19,0.0,71.0,76.0,Pending,0.19,Playstation,Portable console,pending
4 Elements,PC,2009,Puzzle,0.0,0.04,0.0,0.01,78.0,74.0,E,0.05,PC,Home console,everyone
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,DS,2005,Misc,0.1,0.0,0.0,0.01,66.0,74.0,Pending,0.11,Nintendo,Portable console,pending
4 Nin uchi Mahjong,NES,1984,Misc,0.0,0.0,1.45,0.0,70.0,75.0,Pending,1.45,Nintendo,Home console,pending
4 Play Collection - Dark Mysteries,PC,2014,Misc,0.0,0.01,0.0,0.0,78.0,75.0,Pending,0.01,PC,Home console,pending
40 Winks,PS,1999,Platform,0.17,0.12,0.0,0.02,73.5,83.0,Pending,0.31000000000000005,Playstation,Home console,pending
428: Fuusa Sareta Shibuya de,PS3,2009,Adventure,0.0,0.0,0.02,0.0,73.0,71.0,Pending,0.02,Playstation,Home console,pending
428: Fuusa Sareta Shibuya de,PSP,2009,Adventure,0.0,0.0,0.04,0.0,68.0,75.0,Pending,0.04,Playstation,Portable console,pending
428: Fuusa Sareta Shibuya de,Wii,2008,Adventure,0.0,0.0,0.13,0.0,65.0,71.5,Pending,0.13,Nintendo,Home console,pending
4x4 EVO 2,GC,2002,Racing,0.11,0.03,0.0,0.0,56.0,79.5,E,0.14,Nintendo,Home console,everyone
4x4 EVO 2,XB,2001,Racing,0.18,0.05,0.0,0.01,59.0,62.0,E,0.24,Xbox,Home console,everyone
4x4 Evolution,PS2,2001,Racing,0.16,0.12,0.0,0.04,64.0,80.0,E,0.32,Playstation,Home console,everyone
50 Cent: Blood on the Sand,PS3,2009,Shooter,0.1,0.06,0.01,0.03,72.0,72.0,M,0.2,Playstation,Home console,mature
50 Cent: Blood on the Sand,X360,2009,Shooter,0.12,0.07,0.0,0.02,71.0,64.0,M,0.21,Xbox,Home console,mature
50 Cent: Bulletproof,PS2,2005,Action,0.85,0.76,0.0,0.16,47.0,66.0,M,1.7699999999999998,Playstation,Home console,mature
50 Cent: Bulletproof,PSP,2006,Action,0.08,0.0,0.0,0.01,68.0,75.0,Pending,0.09,Playstation,Portable console,pending
50 Cent: Bulletproof,XB,2005,Action,0.33,0.1,0.0,0.02,50.0,59.0,M,0.45000000000000007,Xbox,Home console,mature
50 Classic Games,3DS,2012,Misc,0.0,0.01,0.0,0.0,68.0,71.0,Pending,0.01,Nintendo,Portable console,pending
50 Classic Games,DS,2009,Misc,0.5,0.0,0.0,0.04,66.0,74.0,E,0.54,Nintendo,Portable console,everyone
64 de Hakken! Tamagotchi Minna de Tamagotchi World,N64,1997,Misc,0.0,0.0,0.22,0.0,70.0,75.0,Pending,0.22,Nintendo,Home console,pending
7 Days to Die,PS4,2016,Action,0.04,0.08,0.0,0.02,45.0,59.0,M,0.13999999999999999,Playstation,Home console,mature
7 Days to Die,XOne,2016,Action,0.03,0.02,0.0,0.0,35.0,52.0,M,0.05,Xbox,Home console,mature
7 Roses: A Darkness Rises,PC,2015,Misc,0.0,0.02,0.0,0.0,78.0,75.0,Pending,0.02,PC,Home console,pending
7 Wonders II,DS,2009,Puzzle,0.13,0.15,0.0,0.03,60.0,74.0,E,0.31000000000000005,Nintendo,Portable console,everyone
7 Wonders of the Ancient World,DS,2007,Puzzle,0.1,0.01,0.0,0.01,60.0,83.0,E,0.12,Nintendo,Portable console,everyone
7 Wonders of the Ancient World,PSP,2007,Puzzle,0.07,0.0,0.0,0.01,51.0,75.0,E,0.08,Playstation,Portable console,everyone
7 Wonders: Treasures of Seven,DS,2011,Puzzle,0.01,0.02,0.0,0.0,66.0,74.0,Pending,0.03,Nintendo,Portable console,pending
7'scarlet,PSV,2016,Adventure,0.0,0.0,0.01,0.0,71.0,76.0,Pending,0.01,Playstation,Portable console,pending
7th Dragon,DS,2009,Role-Playing,0.0,0.0,0.14,0.0,66.0,74.0,Pending,0.14,Nintendo,Portable console,pending
7th Dragon 2020,PSP,2011,Role-Playing,0.0,0.0,0.2,0.0,68.0,75.0,Pending,0.2,Playstation,Portable console,pending
7th Dragon 2020-II,PSP,2013,Role-Playing,0.0,0.0,0.13,0.0,68.0,75.0,Pending,0.13,Playstation,Portable console,pending
7th Dragon III Code: VFD,3DS,2015,Role-Playing,0.04,0.0,0.12,0.0,77.0,82.0,T,0.16,Nintendo,Portable console,teen
99 no Namida,DS,2008,Adventure,0.0,0.0,0.04,0.0,66.0,74.0,Pending,0.04,Nintendo,Portable console,pending
"999: Nine Hours, Nine Persons, Nine Doors",DS,2009,Adventure,0.31,0.0,0.03,0.02,66.0,74.0,Pending,0.36,Nintendo,Portable console,pending
A Boy and His Blob,Wii,2009,Platform,0.18,0.01,0.0,0.01,80.0,87.0,E,0.2,Nintendo,Home console,everyone
A Bug's Life,N64,1998,Platform,0.49,0.13,0.0,0.01,70.0,75.0,Pending,0.63,Nintendo,Home console,pending
A Bug's Life,PS,1998,Platform,1.96,0.72,0.0,0.11,73.5,83.0,Pending,2.7899999999999996,Playstation,Home console,pending
A Collection of Activision Classic Games for the Atari 2600,PS,1998,Misc,0.76,0.52,0.0,0.09,73.5,83.0,Pending,1.37,Playstation,Home console,pending
A Collection of Classic Games from the Intellivision,PS,1999,Misc,0.17,0.12,0.0,0.02,73.5,83.0,Pending,0.31000000000000005,Playstation,Home console,pending
A Game of Thrones: Genesis,PC,2011,Strategy,0.0,0.03,0.0,0.01,53.0,40.0,Pending,0.04,PC,Home console,pending
A Good Librarian Like a Good Shepherd: Library Party,PSV,2015,Action,0.0,0.0,0.03,0.0,71.0,76.0,Pending,0.03,Playstation,Portable console,pending
A New Beginning,PC,2010,Adventure,0.0,0.05,0.0,0.01,78.0,75.0,Pending,0.060000000000000005,PC,Home console,pending
A Ressha de Gyoukou 2001,PS2,2001,Simulation,0.0,0.0,0.03,0.0,70.0,80.0,Pending,0.03,Playstation,Home console,pending
A Ressha de Ikou DS,DS,2009,Simulation,0.0,0.0,0.04,0.0,66.0,74.0,Pending,0.04,Nintendo,Portable console,pending
A Vampyre Story,PC,2008,Adventure,0.0,0.01,0.0,0.0,75.0,85.0,T,0.01,PC,Home console,teen
A Witch's Tale,DS,2009,Role-Playing,0.08,0.0,0.03,0.01,50.0,62.0,E10+,0.12,Nintendo,Portable console,everyone 10 and older
A llI S.V.: A Ressha de Gyoukou 3 Super Version,SNES,1995,Simulation,0.0,0.0,0.06,0.0,70.0,75.0,Pending,0.06,Nintendo,Home console,pending
A-Train,PS,1995,Simulation,0.02,0.01,0.04,0.01,73.5,83.0,Pending,0.08,Playstation,Home console,pending
A-Train 6,PS2,2000,Strategy,0.0,0.0,0.06,0.0,70.0,80.0,Pending,0.06,Playstation,Home console,pending
A-Train: City Simulator,3DS,2014,Simulation,0.0,0.0,0.06,0.0,65.0,71.0,E10+,0.06,Nintendo,Portable console,everyone 10 and older
A. IV Evolution: A Ressha de Ikou 4,PS,1994,Strategy,0.0,0.0,0.24,0.02,73.5,83.0,Pending,0.26,Playstation,Home console,pending
A.C.E.: Another Century's Episode,PS2,2005,Simulation,0.0,0.0,0.26,0.0,70.0,80.0,Pending,0.26,Playstation,Home console,pending
A.C.E.: Another Century's Episode 2,PS2,2006,Simulation,0.0,0.0,0.18,0.0,70.0,80.0,Pending,0.18,Playstation,Home console,pending
A.C.E.: Another Century's Episode 3: The Final,PS2,2007,Simulation,0.0,0.0,0.26,0.0,70.0,80.0,Pending,0.26,Playstation,Home console,pending
A.C.E.: Another Century's Episode Portable,PSP,2011,Simulation,0.0,0.0,0.12,0.0,68.0,75.0,Pending,0.12,Playstation,Portable console,pending
A.C.E.: Another Century's Episode R,PS3,2010,Simulation,0.0,0.0,0.26,0.0,73.0,71.0,Pending,0.26,Playstation,Home console,pending
ABBA: You Can Dance,Wii,2011,Misc,0.18,0.49,0.0,0.1,66.0,71.5,E10+,0.7699999999999999,Nintendo,Home console,everyone 10 and older
AC/DC LIVE: Rock Band Track Pack,PS2,2008,Misc,0.08,0.06,0.0,0.02,70.0,80.0,T,0.16,Playstation,Home console,teen
AC/DC LIVE: Rock Band Track Pack,PS3,2008,Misc,0.21,0.01,0.0,0.02,60.0,53.0,T,0.24,Playstation,Home console,teen
AC/DC LIVE: Rock Band Track Pack,Wii,2008,Misc,0.24,0.0,0.0,0.02,65.0,72.0,T,0.26,Nintendo,Home console,teen
AC/DC LIVE: Rock Band Track Pack,X360,2008,Misc,0.21,0.0,0.0,0.02,63.0,49.0,T,0.22999999999999998,Xbox,Home console,teen
AIR,PSP,2007,Adventure,0.0,0.0,0.02,0.0,68.0,75.0,Pending,0.02,Playstation,Portable console,pending
AKB1/149: Love Election,PS3,2013,Adventure,0.0,0.0,0.08,0.0,73.0,71.0,Pending,0.08,Playstation,Home console,pending
AKB1/149: Love Election,PSP,2012,Adventure,0.0,0.0,0.23,0.0,68.0,75.0,Pending,0.23,Playstation,Portable console,pending
AKB1/149: Love Election,PSV,2012,Adventure,0.0,0.0,0.07,0.0,71.0,76.0,Pending,0.07,Playstation,Portable console,pending
AKB1/48: Idol to Guam de Koishitara...,PSP,2011,Misc,0.0,0.0,0.4,0.0,68.0,75.0,Pending,0.4,Playstation,Portable console,pending
AKB1/48: Idol to Guam de Koishitara...,X360,-1,Misc,0.0,0.0,0.01,0.0,71.0,70.0,Pending,0.01,Xbox,Home console,pending
AKB1/48: Idol to Koishitara...,PSP,2010,Misc,0.0,0.0,0.41,0.0,68.0,75.0,Pending,0.41,Playstation,Portable console,pending
AKB48+Me,3DS,2012,Action,0.0,0.0,0.11,0.0,68.0,71.0,Pending,0.11,Nintendo,Portable console,pending
AMF Bowling 2004,XB,2003,Sports,0.22,0.06,0.0,0.01,48.0,44.0,Pending,0.29000000000000004,Xbox,Home console,pending
AMF Bowling Pinbusters!,DS,2008,Sports,0.06,0.0,0.0,0.0,66.0,74.0,Pending,0.06,Nintendo,Portable console,pending
AMF Bowling Pinbusters!,Wii,2007,Sports,0.84,0.0,0.0,0.07,65.0,71.5,Pending,0.9099999999999999,Nintendo,Home console,pending
AMF Bowling World Lanes,Wii,2008,Sports,0.33,0.0,0.0,0.03,65.0,11.0,E,0.36,Nintendo,Home console,everyone
AMF Xtreme Bowling,PS2,2006,Sports,0.01,0.01,0.0,0.0,30.0,42.0,E,0.02,Playstation,Home console,everyone
AMNESIA World,PSV,2014,Adventure,0.0,0.0,0.03,0.0,71.0,76.0,Pending,0.03,Playstation,Portable console,pending
APB Reloaded,PC,2011,Role-Playing,0.02,0.01,0.0,0.0,56.0,57.0,M,0.03,PC,Home console,mature
ASH: Archaic Sealed Heat,DS,2007,Role-Playing,0.0,0.0,0.12,0.0,66.0,74.0,E10+,0.12,Nintendo,Portable console,everyone 10 and older
ATV Offroad Fury,PS2,2001,Racing,2.07,0.26,0.0,0.08,82.0,84.0,E,2.41,Playstation,Home console,everyone
ATV Offroad Fury 2,PS2,2002,Racing,1.92,0.2,0.0,0.06,82.0,89.0,E,2.18,Playstation,Home console,everyone
ATV Offroad Fury 3,PS2,2004,Racing,1.0,0.04,0.0,0.16,78.0,84.0,E,1.2,Playstation,Home console,everyone
ATV Offroad Fury Pro,PSP,2006,Racing,0.37,0.03,0.0,0.04,76.0,75.0,E,0.44,Playstation,Portable console,everyone
ATV Offroad Fury: Blazin' Trails,PSP,2005,Racing,0.53,0.0,0.0,0.04,63.0,78.0,E,0.5700000000000001,Playstation,Portable console,everyone
ATV Quad Kings,DS,2010,Racing,0.1,0.0,0.0,0.01,47.0,74.0,E,0.11,Nintendo,Portable console,everyone
ATV Quad Kings,Wii,2009,Racing,0.2,0.0,0.0,0.01,33.0,71.5,E,0.21000000000000002,Nintendo,Home console,everyone
ATV Quad Power Racing 2,GC,2003,Racing,0.22,0.06,0.0,0.01,70.0,90.0,E,0.29000000000000004,Nintendo,Home console,everyone
ATV Quad Power Racing 2,PS2,2003,Racing,0.41,0.32,0.0,0.11,68.0,80.0,E,0.84,Playstation,Home console,everyone
ATV Quad Power Racing 2,XB,2003,Racing,0.36,0.07,0.0,0.01,68.0,80.0,E,0.44,Xbox,Home console,everyone
ATV/Monster Truck Mayhem,DS,2007,Racing,0.33,0.0,0.0,0.02,66.0,74.0,Pending,0.35000000000000003,Nintendo,Portable console,pending
ATV: Quad Frenzy,DS,2005,Racing,0.1,0.0,0.0,0.01,35.0,74.0,E,0.11,Nintendo,Portable console,everyone
ATV: Quad Power Racing,GBA,2002,Racing,0.18,0.07,0.0,0.0,49.0,80.0,E,0.25,Nintendo,Portable console,everyone
ATV: Quad Power Racing,PS,2000,Racing,0.58,0.39,0.0,0.07,42.0,83.0,E,1.04,Playstation,Home console,everyone
Aa Megami-samaa,PS2,2007,Adventure,0.0,0.0,0.01,0.0,70.0,80.0,Pending,0.01,Playstation,Home console,pending
Abunai: Koi no Sousa Shitsu,PSP,2012,Action,0.0,0.0,0.01,0.0,68.0,75.0,Pending,0.01,Playstation,Portable console,pending
Abunai: Koi no Sousa Shitsu,PSV,2015,Action,0.0,0.0,0.02,0.0,71.0,76.0,Pending,0.02,Playstation,Portable console,pending
Academy of Champions: Soccer,Wii,2009,Sports,0.09,0.02,0.0,0.01,64.0,68.0,E,0.12,Nintendo,Home console,everyone
Accel World: Ginyoku no Kakusei,PS3,2012,Adventure,0.0,0.0,0.03,0.0,73.0,71.0,Pending,0.03,Playstation,Home console,pending
Accel World: Ginyoku no Kakusei,PSP,2012,Adventure,0.0,0.0,0.03,0.0,68.0,75.0,Pending,0.03,Playstation,Portable console,pending
Accel World: Kasoku no Chouten,PS3,2013,Adventure,0.0,0.0,0.02,0.0,73.0,71.0,Pending,0.02,Playstation,Home console,pending
Accel World: Kasoku no Chouten,PSP,2013,Adventure,0.0,0.0,0.01,0.0,68.0,75.0,Pending,0.01,Playstation,Portable console,pending
Ace Attorney 6,3DS,2016,Adventure,0.0,0.0,0.27,0.0,68.0,71.0,Pending,0.27,Nintendo,Portable console,pending
Ace Attorney Investigations 2,DS,2011,Adventure,0.0,0.0,0.26,0.0,66.0,74.0,Pending,0.26,Nintendo,Portable console,pending
Ace Attorney Investigations: Miles Edgeworth,DS,2009,Adventure,0.23,0.14,0.3,0.04,78.0,84.0,T,0.71,Nintendo,Portable console,teen
Ace Combat 04: Shattered Skies,PS2,2001,Simulation,2.06,0.56,0.38,0.17,89.0,91.0,E,3.17,Playstation,Home console,everyone
Ace Combat 2,PS,1997,Simulation,0.16,0.11,0.56,0.06,83.0,82.0,T,0.8900000000000001,Playstation,Home console,teen
Ace Combat 3: Electrosphere,PS,1999,Simulation,0.22,0.15,0.4,0.05,73.5,83.0,Pending,0.8200000000000001,Playstation,Home console,pending
Ace Combat 5: The Unsung War,PS2,2004,Simulation,0.88,0.34,0.32,0.18,84.0,91.0,T,1.72,Playstation,Home console,teen
